"Country","Kernel"
"Afghanistan",35.73095683712283
"Albania",46.80012079094092
"Algeria",48.67508796759517
"AmericanSamoa",35.68495846284225
"Andorra",30.007483001872178
"Angola",30.365648836577
"Anguilla",47.89605148554003
"AntiguaBarbuda",40.07592563483765
"Argentina",29.52332351476831
"Armenia",43.83788231368394
"Aruba",27.60150008137104
"Australia",46.44050428285591
"Austria",36.15176904477273
"Azerbaijan",40.820951328317975
"Bahamas",31.055110164388104
"Bahrain",31.2227099529673
"Bangladesh",43.31985925820398
"Barbados",51.11761748034741
"Belarus",35.40216463789479
"Belgium",36.47100507960796
"Belize",33.76741029603506
"Benin",27.706109212095225
"Bermuda",34.19998071393412
"Bhutan",28.638948307674717
"Bolivia",31.423361479634714
"BosniaHerzegovina",47.773930665093815
"Botswana",42.4526034824509
"Brazil",39.27257767348726
"BritishVirginIslands",33.3401426715313
"Brunei",30.86530170786187
"Bulgaria",43.6592474939042
"BurkinaFaso",41.12022420818938
"Burundi",35.771495176704164
"Cambodia",42.79790528282496
"Cameroon",42.46686166745508
"Canada",29.041118191089932
"CapeVerde",30.33666283838143
"CaymanIslands",46.97728692231429
"CentralAfricanRepublic",44.565975847435325
"Chad",43.649059108476
"Chile",32.92473064929107
"China",31.65715544041853
"Colombia",48.60095706461182
"Comoros",35.08604666430957
"RepublicCongo",40.635671495893014
"CookIslands",28.483088448608594
"CostaRica",41.349923124905914
"IvoryCoast",34.65371048804647
"Croatia",41.379557958777426
"Cuba",38.15871909574077
"Cyprus",47.16342434474565
"CzechRepublic",36.298964628181416
"DemocraticRepublicCongo",37.373460661914066
"Denmark",32.5079424385915
"Djibouti",35.13148165266679
"Dominica",54.14644321490821
"DominicanRepublic",30.348413168901367
"Ecuador",39.57365337437834
"Egypt",46.7190374348419
"ElSalvador",48.032644708644305
"EquatorialGuinea",47.58187645049295
"Eritrea",43.47966293871677
"Estonia",31.181335185671394
"Swaziland",36.93772279514103
"Ethiopia",42.461571672774824
"FalklandIslands",27.928925598665572
"FaroeIslands",30.55362042437231
"Fiji",37.603448834934284
"Finland",43.282954919394186
"France",37.79968606018771
"FrenchGuiana",28.1574841984722
"FrenchPolynesia",37.91188165152748
"Gabon",41.87823082315644
"Gambia",42.47745502067634
"Georgia",29.925567537254
"Germany",45.22942688182688
"Ghana",52.786279602440786
"Gibraltar",38.79026476080995
"Greece",40.81070836511707
"Greenland",27.204982398244425
"Grenada",36.747236498414736
"Guadeloupe",38.52886059478534
"Guam",29.91390908228164
"Guatemala",47.76208562515968
"Guinea",44.77228206621362
"GuineaBissau",41.004601693630725
"Guyana",29.88717285505991
"Haiti",43.002088593134616
"Honduras",48.79322115404074
"Hungary",42.22910568660954
"Iceland",35.30610019807202
"India",33.1270948157951
"Indonesia",42.81903783558721
"Iran",40.71817863366749
"Iraq",45.961848400761056
"Ireland",29.975294982398076
"Israel",37.23275541720735
"Italy",35.615483910660465
"Jamaica",36.270290406563454
"Japan",39.45423535663373
"Jordan",32.520934589838
"Kazakhstan",40.71091724937937
"Kenya",47.47021010124393
"Kiribati",30.35488298582899
"Kuwait",38.84249641998212
"Kyrgyzstan",29.43242035701327
"Laos",45.35797456524872
"Latvia",33.22679587494371
"Lebanon",43.45227653238347
"Lesotho",46.80877375973298
"Liberia",34.02271185002979
"Libya",41.2616091996276
"Liechtenstein",36.19726563821723
"Lithuania",32.914761852580895
"Luxembourg",38.96558692723709
"Madagascar",40.11273177558347
"Malawi",51.70858463636488
"Malaysia",39.99265306258427
"Maldives",36.33910719155233
"Mali",29.431097044041778
"Malta",37.80947704964506
"MarshallIslands",26.90083891102933
"Martinique",51.562578940104984
"Mauritania",31.02335983806077
"Mauritius",42.21948212557866
"Mayotte",30.327819705442522
"Mexico",36.527164635014145
"Micronesia",32.11532703829339
"Moldova",38.878163412539664
"Monaco",31.96077883473814
"Mongolia",39.63159528576835
"Montenegro",44.639895119552406
"Montserrat",28.33292822273742
"Morocco",36.76397105525002
"Mozambique",35.578602497173485
"Myanmar",42.02738696512428
"Namibia",36.412592989227676
"Nauru",32.42106162141605
"Nepal",33.64216014308953
"Netherlands",36.6402359642311
"NewCaledonia",29.66159530678555
"NewZealand",35.36460465045699
"Nicaragua",46.52045637527632
"Niger",42.151988987038486
"Nigeria",41.01368982381604
"Niue",30.444667489178794
"Macedonia",50.218655572445236
"NorthernMarianaIslands",32.458468111358016
"Norway",32.57757362519459
"Oman",49.02944885815918
"Pakistan",57.05713566616948
"Palau",28.20882663972293
"Panama",37.741928776092095
"PapuaNewGuinea",41.23797688694293
"Paraguay",48.17400421705151
"Peru",38.82372052207872
"Philippines",41.72196815146743
"PitcairnIslands",26.490647141300872
"Poland",43.8246111088547
"Portugal",37.95137577806958
"PuertoRico",35.60734645867256
"Qatar",34.85844754027377
"Reunion",32.594257696764586
"Russia",30.50780865212868
"Rwanda",37.32821983753966
"SaintHelena",31.64282602362094
"SaintKittsNevis",29.688675945812204
"SaintLucia",34.71545688065321
"SaintPierreMiquelon",39.66330363116778
"SaintVincentGrenadines",38.54072223336434
"SanMarino",32.134665189957516
"SaoTomePrincipe",29.113894002285278
"SaudiArabia",48.946888376064315
"Senegal",41.897325484391345
"Serbia",44.44295983731599
"Seychelles",32.259625290375496
"SierraLeone",46.493085229844844
"Singapore",38.46346950298857
"Slovakia",35.15298215103086
"Slovenia",35.09263205496032
"SolomonIslands",47.45208823283215
"Somalia",39.94648687350229
"SouthAfrica",49.33232820102525
"SouthKorea",33.014727177631535
"Spain",32.04659664345496
"SriLanka",44.138579809610064
"Sudan",40.052228689419934
"Suriname",35.18022159831815
"Sweden",33.81380606489753
"Switzerland",41.680127081303894
"Syria",37.330453289011025
"Tajikistan",47.45069367947798
"Tanzania",26.842089870690938
"Thailand",47.59348518638119
"Togo",35.40466264006309
"Tokelau",26.916412617827522
"Tonga",40.12658768110136
"TrinidadTobago",49.02039195880738
"Tunisia",42.577226744545705
"Turkey",39.34923128422554
"TurksCaicosIslands",27.85443850591416
"Tuvalu",26.606090112603002
"Uganda",43.21551191677946
"Ukraine",38.90165774007452
"UnitedArabEmirates",53.336210983358114
"UnitedKingdom",34.86808176056017
"UnitedStatesVirginIslands",29.488521882140805
"Uruguay",37.57576418533281
"Uzbekistan",44.62741412226043
"Vanuatu",32.62999698889162
"VaticanCity",29.66573253916458
"Venezuela",64.1652564449027
"Vietnam",27.867526807588334
"WallisFutuna",26.682234213967625
"Yemen",37.441980781696124
"Zambia",37.68566676958832
"Zimbabwe",35.680677083205694
